user	hotel
1	39
1	44
2	63
2	2
3	26
3	37
3	63
3	4
3	51
3	52
3	7
3	35
4	63
4	52
5	12
5	17
5	60
5	59
6	37
6	58
6	2
6	46
6	24
6	56
7	49
7	59
7	18
8	53
8	60
8	66
9	50
9	43
10	59
10	7
11	28
11	4
12	59
12	55
13	60
13	4
13	56
14	60
14	49
14	41
14	46
15	56
15	60
16	39
16	56
17	6
17	56
17	8
17	47
17	18
17	24
17	11
17	61
17	30
17	23
18	1
18	38
18	59
18	26
18	49
18	41
19	56
19	17
20	59
20	60
20	15
20	56
21	63
21	37
21	17
21	56
22	7
22	34
22	62
22	50
23	15
23	60
24	18
24	39
25	57
25	5
26	17
26	56
26	66
27	39
27	40
27	37
27	46
28	66
28	50
28	17
28	55
28	60
29	26
29	60
30	10
30	18
31	53
31	60
32	47
32	18
32	24
32	55
32	39
32	45
33	19
33	2
34	37
34	60
34	26
35	52
35	64
35	38
35	66
35	13
35	41
35	63
36	2
36	45
37	20
37	18
38	60
38	41
39	3
39	39
40	29
40	24
41	59
41	64
41	56
42	56
42	41
42	23
42	59
42	40
42	17
42	43
42	55
42	38
42	37
42	3
42	26
42	16
42	60
42	15
42	50
43	29
43	10
44	53
44	47
44	13
44	21
44	10
45	37
45	60
46	45
46	52
46	25
47	60
47	43
47	23
47	53
48	14
48	53
48	36
48	2
48	6
48	11
48	55
48	56
48	46
48	19
48	17
49	14
49	6
49	49
49	46
50	23
50	28
51	37
51	60
51	7
51	18
52	29
52	11
53	17
53	52
53	60
53	28
53	66
53	43
53	56
54	65
54	62
55	20
55	18
55	47
55	66
55	30
55	39
55	13
55	56
55	6
55	8
55	61
56	17
56	37
57	37
57	65
57	24
57	15
57	63
57	10
57	14
57	19
57	57
57	6
58	10
58	27
59	39
59	47
60	37
60	17
60	45
60	41
61	56
61	62
61	2
62	21
62	56
63	56
63	4
63	38
63	15
64	61
64	4
64	13
64	41
65	16
65	60
65	64
65	59
66	11
66	55
66	47
66	37
66	2
66	13
66	6
67	12
67	37
68	34
68	37
68	58
68	60
69	28
69	56
70	56
70	59
71	52
71	34
71	46
71	4
71	59
71	12
72	39
72	10
72	5
72	57
73	66
73	54
74	43
74	37
74	17
74	56
75	57
75	37
75	49
75	24
75	7
75	4
75	56
75	15
75	46
75	13
75	62
75	32
75	17
75	3
75	60
76	49
76	56
77	59
77	17
78	13
78	2
78	60
79	48
79	37
79	62
80	7
80	37
80	62
80	39
80	3
81	61
81	20
81	18
81	2
81	3
82	33
82	51
82	62
83	37
83	13
84	17
84	41
84	48
84	60
84	12
85	53
85	60
85	54
85	39
85	3
85	2
85	40
85	43
85	18
85	64
85	26
85	57
85	33
85	46
85	50
85	17
85	51
85	47
85	38
85	63
85	66
85	32
85	52
85	45
85	15
85	7
85	41
85	56
85	34
85	37
86	18
86	48
87	1
87	17
87	56
88	41
88	56
88	38
89	13
89	39
90	37
90	57
90	56
90	3
91	37
91	52
91	56
92	40
92	39
93	39
93	59
93	10
93	61
93	2
93	45
93	35
93	3
94	44
94	19
95	37
95	46
95	34
96	37
96	20
97	65
97	18
97	53
98	27
98	61
98	29
99	18
99	2
99	3
99	15
99	57
100	66
100	45
101	2
101	11
102	4
102	60
103	61
103	13
104	15
104	60
105	17
105	41
106	57
106	16
107	46
107	12
107	15
107	4
108	63
108	59
108	49
108	41
108	55
108	56
108	15
108	64
108	17
109	18
109	17
109	66
110	56
110	23
111	60
111	17
111	8
111	59
112	63
112	4
113	66
113	63
114	61
114	26
114	17
115	4
115	17
115	12
115	16
115	41
116	28
116	23
117	13
117	37
117	46
117	51
117	24
118	57
118	61
118	6
119	57
119	39
119	6
120	66
120	59
121	59
121	39
121	17
121	42
121	28
121	16
121	13
122	16
122	50
123	39
123	10
123	24
123	62
124	46
124	63
124	39
125	45
125	6
125	58
125	28
125	13
126	22
126	25
127	33
127	35
127	13
127	62
128	10
128	47
128	39
128	6
128	34
128	3
129	46
129	66
129	4
129	12
129	26
129	42
129	3
129	49
129	17
129	40
129	16
129	24
129	35
129	51
129	60
129	41
129	15
130	44
130	22
130	53
130	25
131	10
131	2
131	3
131	13
131	24
132	22
132	53
133	2
133	4
134	17
134	56
134	12
135	41
135	46
136	11
136	28
137	51
137	6
138	3
138	59
138	57
139	28
139	57
140	6
140	56
141	64
141	38
142	58
142	56
142	47
142	18
142	65
142	2
142	61
142	6
142	26
142	24
142	35
142	66
142	8
142	52
142	39
142	20
142	3
142	11
142	13
143	15
143	47
143	39
144	26
144	17
145	4
145	24
146	60
146	24
147	20
147	6
147	39
148	51
148	4
148	62
149	32
149	64
149	56
150	58
150	59
150	7
150	33
150	62
151	56
151	37
152	7
152	37
152	56
152	39
153	17
153	60
153	56
154	25
154	39
154	36
154	59
154	10
154	2
154	6
155	49
155	60
156	38
156	17
156	50
157	66
157	33
157	62
157	24
158	18
158	39
158	10
158	6
159	45
159	1
159	10
159	2
159	14
160	57
160	10
160	11
160	36
160	6
161	6
161	63
162	15
162	2
162	3
163	34
163	64
163	43
164	45
164	6
164	14
164	39
164	29
164	11
164	13
164	7
165	42
165	17
165	4
166	3
166	17
166	24
167	65
167	6
167	1
168	56
168	17
169	43
169	37
170	45
170	61
170	47
170	27
170	39
170	1
170	21
171	7
171	17
171	28
171	26
171	37
171	60
171	51
171	50
171	46
172	65
172	53
173	25
173	60
173	22
174	8
174	15
174	13
174	56
174	60
174	39
174	37
174	59
175	64
175	41
175	49
176	56
176	26
177	6
177	57
177	11
177	39
178	8
178	62
178	4
178	13
179	53
179	29
179	4
180	50
180	64
181	1
181	17
181	41
181	56
182	43
182	32
182	63
183	35
183	13
184	56
184	45
184	18
184	47
185	24
185	26
186	47
186	28
186	60
186	7
186	26
186	37
187	49
187	55
187	56
188	1
188	29
188	17
189	2
189	59
189	48
189	33
189	6
190	19
190	4
190	63
190	62
190	30
190	6
190	26
191	6
191	14
192	29
192	15
192	24
192	19
193	13
193	18
194	2
194	61
195	43
195	47
195	37
196	4
196	65
197	63
197	58
197	52
197	7
197	56
198	28
198	17
199	28
199	60
199	46
200	59
200	37
201	16
201	38
201	64
201	63
201	56
201	54
201	52
202	63
202	43
203	56
203	46
204	46
204	60
204	26
204	56
204	17
204	62
204	28
205	60
205	27
205	17
206	17
206	60
207	63
207	64
207	32
208	17
208	59
208	41
208	55
208	49
208	61
209	41
209	35
209	12
209	63
209	39
209	50
209	59
209	26
209	28
210	26
210	16
210	49
210	18
210	30
210	20
210	37
210	3
210	6
210	12
210	34
210	23
210	13
210	58
210	32
210	15
210	41
210	17
210	56
210	43
210	66
210	33
211	35
211	52
