user	home continent	gender	cluster
1	2	0	7
2	3	0	0
3	1	1	5
4	2	0	0
5	2	1	3
6	2	0	8
7	2	1	3
8	5	0	5
9	1	0	0
10	2	0	3
11	1	0	0
12	2	0	3
13	1	0	8
14	2	0	5
15	1	0	8
16	2	1	7
17	2	1	6
18	2	0	3
19	2	0	2
20	2	1	8
21	2	1	2
22	2	1	0
23	2	0	1
24	2	1	7
25	2	0	1
26	2	0	2
27	1	0	7
28	4	0	2
29	1	0	5
30	3	0	0
31	2	1	5
32	2	1	7
33	7	0	0
34	2	1	5
35	2	0	0
36	2	1	0
37	4	0	0
38	5	1	5
39	2	0	7
40	1	1	0
41	2	0	8
42	5	0	9
43	2	1	0
44	2	1	0
45	1	1	5
46	2	0	0
47	1	1	5
48	2	1	4
49	2	0	4
50	2	0	0
51	2	1	5
52	2	1	0
53	2	1	2
54	2	0	0
55	2	0	6
56	1	1	2
57	2	0	4
58	2	1	0
59	1	0	7
60	2	0	2
61	2	0	8
62	2	1	8
63	2	0	8
64	2	0	0
65	2	1	3
66	2	1	6
67	2	1	5
68	2	1	5
69	2	1	8
70	2	1	8
71	2	0	3
72	2	0	7
73	2	1	0
74	2	0	2
75	2	1	9
76	2	1	8
77	2	1	3
78	1	0	5
79	2	1	5
80	2	1	7
81	2	0	0
82	1	1	0
83	1	1	5
84	1	1	2
85	2	0	9
86	2	0	0
87	2	0	2
88	2	1	8
89	2	1	7
90	5	1	8
91	2	1	8
92	1	1	7
93	5	1	7
94	2	0	0
95	2	0	5
96	2	0	5
97	1	1	0
98	1	0	0
99	2	1	1
100	2	0	0
101	2	1	0
102	1	0	5
103	1	0	0
104	2	0	1
105	3	0	2
106	2	0	1
107	2	1	1
108	2	1	3
109	1	0	2
110	1	0	8
111	2	1	3
112	2	1	0
113	5	0	0
114	2	0	2
115	2	1	2
116	2	0	0
117	2	1	5
118	2	0	6
119	2	1	6
120	2	0	3
121	2	0	3
122	2	0	0
123	5	1	7
124	2	0	7
125	2	1	6
126	1	0	0
127	2	1	0
128	1	1	6
129	2	0	9
130	2	1	0
131	2	1	0
132	2	1	0
133	2	1	0
134	2	0	2
135	2	0	0
136	1	1	0
137	2	1	6
138	2	1	3
139	1	0	1
140	2	1	6
141	2	1	0
142	1	1	9
143	2	1	7
144	2	0	2
145	2	0	0
146	2	1	5
147	2	1	6
148	2	0	0
149	2	1	8
150	2	0	3
151	2	1	8
152	2	0	8
153	2	0	2
154	2	0	6
155	2	0	5
156	2	0	2
157	1	1	0
158	1	0	6
159	2	0	4
160	2	0	6
161	2	0	6
162	1	1	1
163	3	0	0
164	2	0	4
165	1	0	2
166	2	1	2
167	2	0	6
168	2	1	2
169	1	0	5
170	1	1	7
171	2	1	2
172	2	0	0
173	2	0	5
174	5	0	8
175	2	0	0
176	2	1	8
177	2	0	6
178	7	0	0
179	1	0	0
180	2	0	0
181	2	1	2
182	3	0	0
183	2	0	0
184	2	0	8
185	1	0	0
186	2	1	5
187	2	0	8
188	2	0	2
189	1	1	6
190	2	0	6
191	1	1	4
192	2	1	1
193	2	0	0
194	2	0	0
195	2	0	5
196	2	0	0
197	2	1	8
198	2	1	2
199	1	0	5
200	1	1	3
201	2	0	8
202	2	1	0
203	3	0	8
204	2	0	2
205	2	1	2
206	2	1	2
207	2	0	0
208	2	1	3
209	2	0	3
210	2	1	9
211	2	1	0
212	2	1	7
213	2	1	0
214	2	0	5
215	2	1	8
216	2	0	5
217	1	1	0
218	2	0	1
219	2	0	0
220	2	1	1
221	2	1	5
222	1	1	8
223	2	0	4
224	2	0	5
225	5	1	6
226	2	0	5
227	2	0	0
228	2	1	8
229	2	0	8
230	2	0	8
231	2	1	6
232	2	0	8
233	2	1	4
234	1	1	7
235	2	0	1
236	2	0	1
237	2	0	0
238	2	1	3
239	2	1	8
240	3	1	0
241	2	0	5
242	2	0	0
243	2	1	2
244	2	1	6
245	2	0	4
246	4	1	7
247	2	1	0
248	2	0	8
249	1	1	0
250	3	0	4
251	2	0	2
252	2	0	5
253	2	1	8
254	2	0	2
255	2	0	3
256	2	1	7
257	2	1	8
258	2	1	7
259	2	1	8
260	1	1	6
261	2	0	0
262	2	1	0
263	2	0	8
264	2	1	1
265	2	0	0
266	2	1	2
267	3	0	0
268	2	1	0
269	2	0	5
270	2	1	2
271	2	1	0
272	2	1	0
273	2	1	3
274	2	1	2
275	2	0	8
276	2	1	6
277	2	1	0
278	2	0	0
279	2	1	0
280	2	0	0
281	1	1	3
282	4	0	4
283	2	1	7
284	2	0	2
285	2	0	7
286	1	1	8
287	2	1	0
288	2	1	8
289	1	1	6
290	1	1	0
291	2	1	7
292	2	1	0
293	2	0	0
294	2	0	2
295	2	1	2
296	2	1	3
297	2	1	0
298	1	0	5
299	2	0	1
300	2	1	2
301	2	1	0
302	1	1	4
303	2	1	9
304	2	0	2
305	2	1	0
306	2	0	2
307	2	0	3
308	2	0	8
309	2	1	5
310	2	1	8
311	1	1	6
312	2	0	0
313	2	0	7
314	2	0	0
315	1	1	5
316	2	1	5
317	2	1	0
318	2	1	4
319	1	1	6
320	2	0	6
321	5	1	0
322	2	1	0
323	2	0	0
324	2	0	5
325	2	1	2
326	2	1	9
327	2	0	1
328	1	0	8
329	2	0	4
330	2	0	6
331	2	1	7
332	2	1	2
333	3	1	1
334	2	0	6
335	2	0	7
336	2	0	1
337	2	1	5
338	2	1	1
339	5	0	8
340	6	1	6
341	2	1	0
342	2	0	1
343	2	0	7
344	2	1	2
345	1	0	0
346	2	0	1
347	3	0	2
348	2	0	3
349	2	1	8
350	2	0	2
351	2	0	5
352	3	1	8
353	1	0	8
354	2	0	0
355	2	1	4
356	2	0	8
357	1	1	8
358	2	0	2
359	2	0	7
360	2	0	2
361	1	1	2
362	2	1	1
363	2	1	0
364	1	0	3
365	2	0	8
366	2	1	8
367	1	1	8
368	4	1	6
369	2	0	0
370	1	1	0
371	1	1	0
372	2	1	2
373	1	0	8
374	2	0	6
375	2	0	7
376	2	0	3
377	2	1	2
378	2	0	7
379	2	1	2
380	2	1	6
381	1	0	0
382	5	1	6
383	1	0	2
384	2	1	8
385	1	1	6
386	1	1	8
387	3	1	1
388	3	1	3
389	2	1	2
390	2	0	2
391	2	1	0
392	2	0	0
393	4	0	2
394	4	1	6
395	2	1	2
396	1	0	0
397	2	0	0
398	2	0	6
399	2	0	1
400	1	0	0
401	2	1	0
402	1	1	5
403	2	1	2
404	2	0	2
405	1	0	7
406	1	0	7
407	2	0	2
408	2	1	8
409	2	1	3
410	2	0	8
411	2	1	5
412	3	1	5
413	2	1	7
414	2	0	4
415	2	0	2
416	2	0	2
417	5	1	6
418	2	0	8
419	4	0	0
420	1	0	0
421	2	0	0
422	2	0	5
423	2	0	2
424	2	1	0
425	2	1	1
426	2	1	5
427	2	1	7
428	2	0	0
429	1	0	8
430	2	0	2
431	2	1	2
432	3	1	8
433	2	0	8
434	2	1	4
435	2	1	5
436	4	1	0
437	1	1	0
438	2	1	2
439	2	1	8
440	2	0	5
441	2	1	1
442	2	0	4
443	2	1	2
444	2	1	2
445	2	0	2
446	1	0	2
447	2	0	2
448	2	1	8
449	2	1	5
450	2	1	0
451	5	1	2
452	2	0	1
453	2	1	7
454	3	1	2
455	2	1	7
456	2	0	3
457	2	0	0
458	2	0	6
459	2	1	2
460	2	1	0
461	2	1	3
462	2	0	2
463	2	1	8
464	2	0	0
465	7	1	5
466	2	1	0
467	4	0	0
468	2	1	0
469	2	0	6
470	2	0	8
471	2	0	0
472	2	1	6
473	1	1	1
474	4	1	0
475	2	1	0
476	2	1	2
477	5	1	6
478	2	1	8
479	1	0	0
480	1	1	0
481	2	1	5
482	2	1	0
483	2	1	2
484	1	0	0
485	2	1	2
486	2	1	7
487	1	1	0
488	1	0	2
489	1	1	4
490	2	1	8
491	2	0	0
492	1	1	0
493	2	0	0
494	6	0	5
495	2	0	0
496	2	1	2
497	2	0	7
498	2	1	1
499	2	0	0
500	1	1	4
501	2	1	3
502	2	1	3
503	2	1	8
504	2	0	0
505	2	0	0
506	2	1	2
507	1	0	5
508	2	1	7
509	2	1	3
510	2	1	7
511	2	1	2
512	2	1	2
513	1	1	6
514	2	0	8
515	2	1	7
516	2	0	6
517	2	1	0
518	3	1	5
519	2	1	7
520	2	0	2
521	2	1	8
522	2	1	5
523	2	0	2
524	2	1	0
525	2	1	5
526	2	1	8
527	5	0	7
528	2	0	7
529	4	0	3
530	2	1	9
531	2	0	0
532	2	1	0
533	2	1	0
534	2	1	4
535	2	1	6
536	4	1	7
537	2	1	7
538	2	0	0
539	3	0	8
540	2	0	6
541	2	1	0
542	2	0	0
543	4	1	6
544	2	1	0
545	2	0	0
546	1	1	5
547	2	0	0
548	2	0	6
549	1	1	2
550	2	0	7
551	2	1	5
552	2	0	8
553	1	0	2
554	1	1	0
555	1	0	2
556	2	1	2
557	2	1	8
558	1	1	0
559	2	1	8
560	2	1	3
561	2	1	0
562	2	0	0
563	5	1	4
564	2	1	6
565	2	1	7
566	2	1	7
567	2	0	3
568	2	1	0
569	2	1	7
570	2	0	1
571	1	0	0
572	2	1	7
573	2	1	5
574	2	1	6
575	1	1	3
576	3	1	2
577	1	1	6
578	2	1	7
579	2	1	3
580	1	0	7
581	1	0	0
582	2	0	0
583	2	1	5
584	2	0	4
585	2	0	1
586	2	0	5
587	2	1	0
588	2	1	4
589	1	1	2
590	2	1	7
591	2	0	6
592	2	0	5
593	2	0	6
594	1	1	8
595	2	0	9
596	4	1	8
597	2	0	3
598	2	1	7
599	2	1	8
600	2	0	5
601	2	1	1
602	2	0	6
603	4	1	2
604	2	0	0
605	1	0	2
606	2	0	3
607	2	0	0
608	2	1	8
609	2	1	5
610	2	1	0
611	2	1	8
612	2	1	0
613	2	1	2
614	2	0	8
615	2	0	0
616	2	1	6
617	2	0	0
618	2	0	7
619	2	1	4
620	2	1	8
621	2	0	2
622	2	1	5
623	2	1	8
624	2	1	0
625	1	0	0
626	1	1	8
627	1	0	1
628	1	1	0
629	2	0	0
630	2	0	6
631	1	1	0
632	2	1	4
633	1	0	3
634	2	1	7
635	2	0	0
636	2	0	2
637	2	1	0
638	1	1	0
639	7	1	7
640	2	0	5
641	2	0	0
642	2	1	2
643	2	0	4
644	2	1	2
645	2	0	8
646	2	0	0
647	2	1	6
648	2	0	0
649	2	0	5
650	2	1	4
651	2	0	2
652	2	0	4
653	2	0	2
654	5	1	0
655	2	1	4
656	5	0	0
657	4	0	0
658	2	0	8
659	2	1	7
660	2	1	2
661	2	1	0
662	2	1	8
663	2	1	8
664	5	1	6
665	2	1	5
666	1	0	5
667	5	1	0
668	1	0	2
669	2	0	0
670	2	1	0
671	2	1	4
672	2	1	3
673	2	0	4
674	2	1	0
675	1	0	2
676	2	1	6
677	2	1	5
678	2	1	6
679	2	1	4
680	2	1	8
681	1	1	0
682	5	0	5
683	7	1	0
684	2	0	3
685	1	0	0
686	2	1	7
687	2	1	0
688	2	0	2
689	2	1	5
690	2	0	3
691	2	1	7
692	2	0	3
693	1	1	7
694	2	1	2
