rank	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10
1	2	15	17	59	14	37	6	39	56	60
2	13	57	56	49	6	60	39	2	37	26
3	4	4	60	60	10	38	18	45	60	56
4	3	46	37	41	18	46	10	56	26	49
5	53	41	43	17	24	26	2	18	38	66
6	41	13	26	12	2	43	57	13	43	41
7	10	12	38	3	39	7	53	66	46	46
8	26	19	46	15	53	52	56	55	7	3
9	62	3	66	26	11	41	47	47	59	17
10	63	5	39	46	47	13	3	60	63	37
11	12	60	63	13	45	49	55	10	41	15
12	45	24	64	37	7	66	13	3	66	7
13	46	2	49	55	55	63	45	37	15	59
14	55	7	41	16	57	34	24	61	2	39
15	66	18	2	48	61	18	11	26	4	52
16	61	45	13	56	3	4	20	7	64	63
17	28	63	55	58	21	2	61	24	52	55
18	18	62	7	39	13	28	37	28	49	13
19	24	51	28	4	15	16	60	63	35	45
20	47	55	59	42	25	55	21	59	28	18
21	7	53	16	7	20	64	28	17	39	28
22	23	10	50	63	36	45	15	53	62	43
23	52	66	4	61	62	33	66	57	13	64
24	11	16	45	53	37	62	8	46	45	2
25	8	61	35	52	29	53	7	15	34	40
26	35	11	3	2	56	12	4	11	32	38
27	49	44	15	64	22	3	42	4	16	34
28	51	29	34	66	27	57	52	49	3	16
29	42	8	40	11	4	48	23	51	55	4
30	38	37	52	51	60	47	63	52	11	47
31	64	35	18	33	19	40	29	62	50	32
32	65	21	32	45	23	35	35	42	57	12
33	48	58	12	35	1	50	59	8	51	50
34	16	22	61	18	30	51	62	23	5	62
35	27	28	62	14	17	11	65	33	12	61
36	20	34	58	24	8	58	17	58	18	24
37	33	38	11	29	46	42	30	19	58	6
38	29	49	48	62	5	24	33	65	10	54
39	5	26	51	28	65	23	9	30	33	14
40	19	20	47	38	31	5	49	16	48	51
41	58	17	30	34	33	29	22	35	40	33
42	43	31	27	50	44	8	26	41	61	35
43	32	47	33	23	52	27	36	12	53	58
44	34	50	6	8	49	54	51	31	1	57
45	30	25	57	65	28	32	27	20	47	53
46	22	23	1	43	16	10	19	1	14	30
47	50	65	20	57	12	65	5	50	19	5
48	36	27	53	9	41	6	1	48	54	23
49	25	52	10	47	42	30	46	32	8	8
50	9	1	5	31	51	61	44	29	6	48
51	31	36	19	20	66	44	31	40	65	11
52	1	39	14	10	59	20	48	5	42	42
53	44	33	54	6	26	25	58	36	24	1
54	40	42	9	27	63	19	41	27	20	65
55	54	43	8	1	9	1	25	43	31	27
56	21	32	24	36	43	15	64	25	30	9
57	57	48	23	44	40	39	50	34	23	31
58	17	64	36	40	54	59	40	44	27	29
59	39	30	65	19	58	36	38	38	21	10
60	37	54	42	32	50	31	32	9	22	19
61	56	56	21	30	48	22	12	54	25	36
62	59	59	31	25	38	14	54	64	29	44
63	60	14	29	54	35	21	16	22	44	20
64	15	9	22	21	32	9	34	21	36	25
65	14	40	44	5	34	56	43	14	9	21
66	6	6	25	22	64	17	14	6	17	22
